"Q1. How often, if at all, do you watch men's English Premier  League football matches, either on television or live at a stadium?",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Frequency,Total,Male,Female,18-24,25-34,35-44,45-54,55+,ABC1,C2DE,North East,North West,Yorkshire and the Humber ,East Midlands,West Midlands,East of England,London,South East,South West,England(NET),Wales,Scotland
,,,,,,,,,,,,,,,,,,,,,,
Q6. A time limit on how long it can take for decisions to be made using VAR?,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time Limit,Total,Male,Female,18-24,25-34,35-44,45-54,55+,ABC1,C2DE,North East,North West,Yorkshire and the Humber ,East Midlands,West Midlands,East of England,London,South East,South West,England(NET),Wales,Scotland
Up to 10 seconds,11,11,10,6,8,12,12,12,13,8,15,8,5,12,17,12,11,10,11,11,5,13
Up to 15 seconds,17,18,14,14,16,23,17,17,17,17,13,21,29,21,10,19,12,13,14,17,20,20
Up to 30 seconds,26,28,22,28,26,22,25,25,28,24,28,28,24,21,30,27,26,22,26,26,32,27
Up to 45 seconds,4,4,5,6,4,4,5,5,4,4,5,3,5,1,4,5,4,7,2,4,6,2
Up to 60 seconds,11,11,11,17,19,13,8,8,8,16,0,13,15,8,9,4,20,11,14,11,10,10
Don't know,9,7,13,12,7,9,9,9,8,10,4,9,9,7,8,12,8,8,11,9,7,11
No VAR decisions if play continues,11,11,10,10,13,11,10,10,12,8,20,10,6,12,7,9,9,17,12,11,2,13
No time limit,11,9,15,7,7,6,13,15,10,12,14,9,7,18,15,12,9,12,11,11,18,4
,,,,,,,,,,,,,,,,,,,,,,
Q7. Being able to see the video footage that the video assistant referees are being shown to make their decision?,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Transparency to VAR footages,Total,Male,Female,18-24,25-34,35-44,45-54,55+,ABC1,C2DE,North East,North West,Yorkshire and the Humber ,East Midlands,West Midlands,East of England,London,South East,South West,England(NET),Wales,Scotland
Strongly support,55,54,57,58,53,55,47,55,55,55,58,51,57,67,56,63,50,48,60,55,59,52
Tend to support,32,31,32,23,30,28,37,34,31,32,25,34,30,22,27,28,40,38,20,31,33,34
Neither support nor oppose,10,11,7,9,14,12,10,7,10,9,15,9,10,9,16,6,7,9,12,10,5,10
Tend to oppose,2,2,3,0,2,3,4,2,2,3,0,3,4,3,1,1,2,2,5,2,0,3
Strongly oppose,1,1,1,0,1,2,0,1,1,1,3,1,0,0,0,0,2,2,0,1,2,0
Don't know,1,1,0,0,1,0,3,1,1,1,0,1,0,0,1,2,0,1,3,1,0,0
,,,,,,,,,,,,,,,,,,,,,,
"Q8. In general, do you think VAR has improved or worsened the quality of football played?",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Quality,Total,Male ,Female,18-24,25-34,35-44,45-54,55+,ABC1,C2DE,North East,North West,Yorkshire and the Humber ,East Midlands,West Midlands,East of England,London,South East,South West,England(NET),Wales,Scotland
Significant improvement,4,3,5,13,5,2,2,2,3,5,8,4,4,3,1,4,6,3,0,4,0,4
Somewhat improved,11,9,17,13,16,8,8,12,11,12,7,12,5,9,10,10,13,13,18,11,15,10
No difference,71,74,63,60,64,74,72,74,73,67,73,69,79,71,75,70,68,69,70,71,68,70
Somewhat worsened,8,8,9,12,6,7,10,8,8,8,7,7,11,9,7,8,8,7,7,8,12,11
Significantly worsened,4,3,3,0,5,5,5,4,3,5,5,6,0,6,4,4,3,4,0,4,4,6
Don't know,2,2,5,2,4,3,4,1,2,3,0,2,1,2,3,5,2,4,4,3,0,0
,,,,,,,,,,,,,,,,,,,,,,
Q9. Accuracy of referee's decisions?,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Accuracy,Total,Male ,Female,18-24,25-34,35-44,45-54,55+,ABC1,C2DE,North East,North West,Yorkshire and the Humber ,East Midlands,West Midlands,East of England,London,South East,South West,England(NET),Wales,Scotland
Significant improvement,8,8,10,13,11,7,4,8,7,10,5,6,8,13,5,4,14,12,5,8,12,6
Somewhat improved,40,43,35,36,40,41,39,42,43,37,36,39,31,36,35,48,48,39,40,40,43,42
No difference,24,25,22,28,24,19,27,23,26,20,35,26,27,17,30,20,13,22,29,23,17,30
Somewhat worsened,18,16,21,11,18,23,18,17,16,20,15,16,22,17,19,22,19,13,20,18,15,17
Significantly worsened,7,7,8,9,5,8,7,7,5,10,7,10,11,13,9,4,3,8,2,7,12,4
Don't know,3,2,5,3,2,2,5,2,2,3,2,3,1,4,2,2,2,5,4,3,0,1
,,,,,,,,,,,,,,,,,,,,,,
"Q10. In general, do you think VAR has improved or worsened Pace of the game?",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Pace,Total,Male ,Female,18-24,25-34,35-44,45-54,55+,ABC1,C2DE,North East,North West,Yorkshire and the Humber ,East Midlands,West Midlands,East of England,London,South East,South West,England(NET),Wales,Scotland
Significant improvement,2,2,3,2,5,3,2,1,2,3,3,2,2,2,0,1,6,3,1,2,2,3
Somewhat improved,4,3,4,6,6,3,2,2,3,5,7,6,5,3,5,1,3,3,2,4,0,4
No difference,23,23,23,23,19,20,28,25,23,23,40,19,25,22,24,19,28,19,36,24,19,15
Somewhat worsened,46,47,45,43,47,47,38,50,49,43,23,49,42,44,43,51,45,50,39,45,51,57
Significantly worsened,23,24,20,24,19,27,27,20,22,24,27,23,25,27,25,27,17,21,21,23,28,17
Don't know,2,1,4,2,3,1,3,2,2,2,0,1,0,2,3,1,2,4,1,2,0,4
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,NB: All values are in percentage.,,,,,,,,,,,,,,,,,
